[[  490854.84564585  5727918.16560666]
 [  490993.26631819  5734132.15081638]
 [  497723.9678093   5728101.04448962]
 [  497387.63826375  5723306.07105673]
 [  494663.75253619  5731756.91591885]
 [  500659.00872288  5721497.80139495]
 [  497716.19674637  5736355.57838483]
 [  493578.77960752  5725368.61539721]
 [  487772.23012373  5730841.09344216]
 [  501065.65922486  5720520.4140612 ]
 [  484804.50386752  5732079.28461047]
 [  499991.26498065  5721420.44159648]
 [  494171.00909205  5727157.53432574]
 [  491628.00496802  5731986.99521606]
 [  500097.9551771   5720420.6501087 ]
 [  490064.94015932  5729976.06898   ]
 [  494755.06915824  5722684.1431912 ]
 [  493737.16154657  5733916.66414371]
 [  495737.74965083  5733896.86460176]
 [  490888.30175784  5732312.30931331]
 [  496560.71932526  5733242.51373716]
 [  498988.84294206  5726433.82574714]
 [  495180.80430204  5727751.21911812]
 [  495458.40628389  5730035.49101741]
 [  500746.10134247  5724558.38619901]
 [  490860.64722333  5727768.34721994]
 [  492529.75309311  5731593.83720271]
 [  502477.61444019  5728511.09664909]
 [  499961.58193039  5728047.84369516]
 [  490266.18608337  5728286.0354022 ]
 [  491732.48938396  5732272.29834921]
 [  490362.33138446  5728454.7390006 ]
 [  500092.97872734  5718988.25674617]
 [  488971.93623974  5732103.5488992 ]
 [  501613.25992587  5723985.34974824]
 [  488829.81225671  5728152.22956453]
 [  491113.11562439  5727507.58494427]
 [  501981.37581103  5722595.30020902]
 [  499216.93291186  5729370.80589102]
 [  492279.76846195  5728428.38098383]
 [  496004.50594358  5727032.21286016]
 [  493469.49106173  5730954.20789579]
 [  485484.75412256  5732366.22642465]
 [  491085.60146272  5727461.13143303]
 [  496006.78067556  5730957.04457415]
 [  492239.90191085  5726010.59453793]
 [  502595.99604389  5727348.26509648]
 [  494518.3939772   5723519.42812781]
 [  493985.83246499  5730763.89898901]
 [  496908.26455239  5722650.6651985 ]
 [  499436.19243278  5727254.13919818]
 [  493355.78762205  5730979.47476954]
 [  497974.82827393  5735683.16030771]
 [  493767.90388316  5730967.33002146]
 [  495788.92330713  5727300.35585823]
 [  498078.95805698  5725060.18016147]
 [  496510.58210053  5733138.52687073]
 [  498234.83464263  5722489.49881843]
 [  493213.05056021  5725858.57718758]
 [  491155.54656727  5732320.64377386]
 [  495829.20238238  5728651.95359036]
 [  487733.39587093  5729234.52822724]
 [  491123.89804529  5728854.37349163]
 [  497852.400883    5723342.68410186]
 [  496872.7034631   5724319.58961772]
 [  489576.17548492  5727650.45887672]
 [  486627.99358252  5731054.00750249]
 [  499693.88492703  5728517.52702506]
 [  496735.02979223  5736057.05807122]
 [  496546.8477566   5722775.668516  ]
 [  491846.06836396  5734124.52537531]
 [  499573.1142548   5730639.41144764]
 [  497252.90690655  5736501.48843078]
 [  499856.68154085  5728385.2465383 ]] [ 6.97506119] [ 4.][[  493484.18612533  5730324.0713624 ]
 [  500932.18111869  5730194.08864569]
 [  488904.23639905  5729116.02407073]
 [  491729.06272103  5728864.50493137]
